"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
663624,"Mountcastle, Ryan",240,0.4583333333333333,0.5416666666666666,0.22916666666666666,0.2791666666666667,0.03333333333333333,0.38333333333333336,0.30416666666666664,0.3125,0.2375,0.14166666666666666,0.07916666666666666,0.14583333333333337,0.16249999999999998,0.23333333333333334
656577,"Jackson, Alex",54,0.37037037037037035,0.6296296296296295,0.3148148148148148,0.2222222222222222,0.09259259259259259,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.2037037037037037,0.12962962962962962,0.037037037037037035,0.24074074074074073,0.2592592592592593,0.12962962962962962
669236,"Jackson, Jeremiah",120,0.5,0.5,0.275,0.175,0.05,0.35833333333333334,0.4,0.24166666666666667,0.25833333333333336,0.2,0.041666666666666664,0.09999999999999998,0.2,0.2
681297,"Cowser, Colton",199,0.45226130653266333,0.5477386934673367,0.3316582914572864,0.18090452261306533,0.035175879396984924,0.4020100502512563,0.3316582914572864,0.2663316582914573,0.2562814070351759,0.15577889447236182,0.04020100502512563,0.14572864321608042,0.1758793969849246,0.22613065326633164
702616,"Holliday, Jackson",447,0.4899328859060403,0.5100671140939597,0.2505592841163311,0.21923937360178972,0.040268456375838924,0.3378076062639821,0.3982102908277405,0.2639821029082774,0.23042505592841164,0.20134228187919462,0.058165548098434,0.10738255033557045,0.1968680089485459,0.2058165548098434
683002,"Henderson, Gunnar",445,0.4853932584269663,0.5146067415730338,0.18876404494382024,0.25842696629213485,0.06741573033707865,0.36629213483146067,0.3775280898876405,0.25617977528089886,0.21348314606741572,0.19775280898876405,0.07415730337078652,0.15280898876404495,0.17977528089887643,0.18202247191011234
656896,"Rivera, Emmanuel",96,0.4166666666666667,0.5833333333333334,0.23958333333333334,0.3125,0.03125,0.25,0.4375,0.3125,0.15625,0.1875,0.07291666666666667,0.09375,0.25,0.23958333333333331
687637,"Beavers, Dylan",75,0.29333333333333333,0.7066666666666667,0.4,0.25333333333333335,0.05333333333333334,0.41333333333333333,0.32,0.26666666666666666,0.14666666666666667,0.13333333333333333,0.013333333333333334,0.26666666666666666,0.18666666666666668,0.25333333333333335
691723,"Mayo, Coby",179,0.3575418994413408,0.6424581005586592,0.31843575418994413,0.18994413407821228,0.1340782122905028,0.46368715083798884,0.29608938547486036,0.24022346368715083,0.19553072625698323,0.1005586592178771,0.061452513966480445,0.26815642458100564,0.19553072625698326,0.1787709497206704
687551,"Gilbert, Drew",81,0.4567901234567901,0.5432098765432098,0.18518518518518517,0.25925925925925924,0.09876543209876543,0.35802469135802467,0.38271604938271603,0.25925925925925924,0.19753086419753085,0.20987654320987653,0.04938271604938271,0.16049382716049382,0.1728395061728395,0.20987654320987653
642715,"Adames, Willy",421,0.3182897862232779,0.681710213776722,0.36342042755344417,0.22327790973871733,0.09501187648456057,0.4418052256532066,0.3182897862232779,0.23990498812351543,0.2161520190023753,0.07125890736342043,0.030878859857482184,0.22565320665083133,0.24703087885985747,0.20902612826603326
808982,"Lee, Jung Hoo",493,0.4746450304259635,0.5253549695740365,0.24949290060851928,0.23935091277890466,0.036511156186612576,0.3995943204868154,0.34685598377281945,0.2535496957403651,0.24746450304259635,0.1643002028397566,0.06288032454361055,0.15212981744421908,0.18255578093306285,0.1906693711967546
682641,"Matos, Luis",146,0.4657534246575342,0.5342465753424658,0.2534246575342466,0.17123287671232876,0.1095890410958904,0.4041095890410959,0.4315068493150685,0.1643835616438356,0.2054794520547945,0.1917808219178082,0.0684931506849315,0.1986301369863014,0.2397260273972603,0.0958904109589041
672275,"Bailey, Patrick",286,0.38461538461538464,0.6153846153846154,0.2972027972027972,0.23776223776223776,0.08041958041958042,0.3321678321678322,0.4125874125874126,0.25524475524475526,0.16083916083916083,0.18181818181818182,0.04195804195804196,0.17132867132867136,0.23076923076923078,0.2132867132867133
642086,"Smith, Dominic",166,0.42168674698795183,0.5783132530120482,0.27710843373493976,0.25301204819277107,0.04819277108433735,0.39759036144578314,0.40963855421686746,0.1927710843373494,0.24096385542168675,0.15060240963855423,0.030120481927710843,0.1566265060240964,0.25903614457831325,0.16265060240963858
656305,"Chapman, Matt",332,0.4036144578313253,0.5963855421686747,0.2469879518072289,0.22289156626506024,0.12650602409638553,0.43373493975903615,0.3373493975903614,0.2289156626506024,0.23493975903614459,0.13253012048192772,0.03614457831325301,0.19879518072289157,0.2048192771084337,0.19277108433734938
646240,"Devers, Rafael",419,0.42720763723150357,0.5727923627684964,0.30071599045346065,0.22911694510739858,0.04295942720763723,0.35799522673031026,0.3794749403341289,0.26252983293556087,0.18615751789976134,0.18854415274463007,0.05250596658711217,0.1718377088305489,0.1909307875894988,0.2100238663484487
669477,"Schmitt, Casey",233,0.3261802575107296,0.6738197424892705,0.30042918454935624,0.30042918454935624,0.07296137339055794,0.4678111587982833,0.296137339055794,0.23605150214592274,0.20600858369098712,0.09012875536480687,0.030042918454935622,0.26180257510729615,0.20600858369098712,0.20600858369098712
676679,"Vázquez, Luis",36,0.5277777777777778,0.4722222222222222,0.25,0.19444444444444445,0.027777777777777776,0.2777777777777778,0.5,0.2222222222222222,0.1388888888888889,0.2777777777777778,0.1111111111111111,0.1388888888888889,0.2222222222222222,0.1111111111111111
