"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo",448,0.9068825910931174,283,"80.620201027",0.9732142857142857,0.3003533568904594,0.18973214285714285,0.26148409893992935,0.16517857142857142,"8.788955402",4,9.009905652351748,165,0.36830357142857145,141,0.31473214285714285
665833,"Cruz, Oneil",822,0.906284454244763,556,"78.80644826",0.7846715328467154,0.32194244604316546,0.21776155717761558,0.24820143884892087,0.1678832116788321,"7.7619882",19,-21.769034534791853,266,0.3236009732360097,273,0.33211678832116787
691406,"Caminero, Junior",1102,0.9069958847736626,851,"78.584840581",0.8130671506352086,0.2890716803760282,0.22323049001814882,0.22209165687426558,0.17150635208711434,"8.420028167",21,1.9739420831121963,251,0.2277676950998185,432,0.39201451905626133
656180,"Adams, Riley",500,0.9041591320072333,341,"78.30455994",0.7919999999999999,0.23460410557184752,0.16,0.18181818181818182,0.124,"7.85196294",14,-22.656717311953418,159,0.318,148,0.296
691023,"Walker, Jordan",686,0.9050131926121372,465,"78.069257522",0.7784256559766762,0.26666666666666666,0.18075801749271136,0.2,0.13556851311953352,"8.258906224",21,-19.14626067890846,221,0.32215743440233235,231,0.336734693877551
678877,"Noel, Jhonkensy",306,0.9134328358208955,212,"77.867274118",0.7320261437908497,0.20754716981132076,0.1437908496732026,0.1320754716981132,0.0915032679738562,"7.534005654",6,-15.19035376865818,94,0.30718954248366015,91,0.2973856209150327
666176,"Adell, Jo",1032,0.9028871391076115,779,"77.613888062",0.733527131782946,0.26187419768934533,0.19767441860465115,0.19127086007702182,0.14437984496124032,"7.728556453",30,0.6673684378131588,253,0.2451550387596899,354,0.3430232558139535
656941,"Schwarber, Kyle",1141,0.8998422712933754,807,"77.337695513",0.7721297107800177,0.322180916976456,0.22787028921998248,0.24659231722428748,0.17440841367221735,"7.531078869",51,10.85101761306191,334,0.2927256792287467,385,0.3374233128834356
695506,"Caglianone, Jac",398,0.908675799086758,299,"77.330430427",0.7261306532663315,0.2608695652173913,0.19597989949748743,0.19732441471571907,0.14824120603015076,"7.629539095",5,-22.223738461461572,99,0.24874371859296482,148,0.37185929648241206
671286,"Rodríguez, Johnathan",123,0.9111111111111111,76,"77.272999919",0.6747967479674798,0.3815789473684211,0.23577235772357724,0.27631578947368424,0.17073170731707318,"8.068561626",3,-3.103513054470362,47,0.3821138211382114,47,0.3821138211382114
701762,"Kurtz, Nick",735,0.9096534653465347,490,"77.204379361",0.7251700680272108,0.29183673469387755,0.1945578231292517,0.22040816326530613,0.1469387755102041,"7.711152299",18,22.72018967970367,245,0.3333333333333333,243,0.3306122448979592
695657,"Montgomery, Colson",494,0.9080882352941176,346,"77.0448783",0.7165991902834009,0.25722543352601157,0.18016194331983806,0.17630057803468208,0.12348178137651822,"7.80039504",8,4.78277601967031,148,0.29959514170040485,163,0.3299595141700405
592450,"Judge, Aaron",1015,0.9022222222222223,685,"76.992197803",0.7162561576354678,0.3416058394160584,0.23054187192118228,0.2510948905109489,0.16945812807881774,"8.109203547",35,34.14853191953662,330,0.3251231527093596,347,0.341871921182266
665489,"Guerrero Jr., Vladimir",934,0.912109375,740,"76.664724839",0.6766595289079229,0.37027027027027026,0.29336188436830835,0.25675675675675674,0.20342612419700215,"7.63105727",8,5.329804410306968,194,0.20770877944325483,458,0.49036402569593146
670242,"Wallner, Matt",693,0.90234375,448,"76.567157042",0.6854256854256854,0.25223214285714285,0.16305916305916307,0.16964285714285715,0.10966810966810966,"7.422964863",21,-3.6821847534461214,245,0.35353535353535354,204,0.2943722943722944
641343,"Bauers, Jake",346,0.9081364829396326,266,"76.452483468",0.7138728323699421,0.2781954887218045,0.2138728323699422,0.16917293233082706,0.13005780346820808,"7.725719798",7,-6.622919555458325,80,0.23121387283236994,118,0.34104046242774566
677594,"Rodríguez, Julio",1215,0.9046909903201787,885,"76.446710082",0.6395061728395064,0.3096045197740113,0.22551440329218106,0.19887005649717515,0.1448559670781893,"7.675602675",19,-2.6604420397502118,330,0.2716049382716049,460,0.3786008230452675
660670,"Acuña Jr., Ronald",707,0.8994910941475827,502,"76.414268656",0.6732673267326733,0.28286852589641437,0.20084865629420084,0.199203187250996,0.14144271570014144,"7.593044752",17,1.890122299573844,205,0.28995756718529,226,0.31966053748231965
670541,"Alvarez, Yordan",316,0.9106628242074928,244,"76.132676551",0.629746835443038,0.35655737704918034,0.27531645569620256,0.22950819672131148,0.17721518987341772,"7.741933291",1,-7.002546269579356,72,0.22784810126582278,124,0.3924050632911392
669003,"Mitchell, Garrett",118,0.9076923076923077,85,"76.117896017",0.7033898305084746,0.24705882352941178,0.17796610169491525,0.17647058823529413,0.1271186440677966,"7.419650847",6,-5.4087017992221655,33,0.2796610169491525,41,0.3474576271186441
656577,"Jackson, Alex",180,0.9090909090909091,114,"76.062400611",0.6166666666666667,0.23684210526315788,0.15,0.17543859649122806,0.1111111111111111,"7.809381833",2,-2.9111042294467007,66,0.36666666666666664,51,0.2833333333333333
695578,"Wood, James",1029,0.901840490797546,721,"76.045597784",0.6268221574344024,0.3356449375866852,0.23517978620019436,0.2274618585298197,0.15937803692905733,"7.660401516",44,-1.1969703349949627,308,0.29931972789115646,353,0.3430515063168124
