"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"García, Adolis",666969,"TEX","SL","Slider",-0.6,-2,"269",12.5,"73","0.229","0.371","0.276",36.7,32.9,27,"0.199","0.322","0.242",34.8
"Goldschmidt, Paul",502671,"NYY","SL","Slider",0,0,"340",16.3,"72","0.246","0.362","0.273",33.3,31.9,21.1,"0.271","0.416","0.313",39.1
"Frazier, Adam",624428,"KC","SL","Slider",-1.1,-3,"247",13.4,"72","0.239","0.299","0.259",23.9,31.9,23.7,"0.235","0.294","0.26",17.8
"Marsee, Jakob",805300,"MIA","FF","4-Seam Fastball",-0.2,-1,"301",34.2,"72","0.193","0.386","0.341",13.4,26.4,21.8,"0.2","0.37","0.334",46.2
"Smith, Dominic",642086,"SF","FF","4-Seam Fastball",-0.4,-1,"295",34.8,"72","0.313","0.433","0.341",15.4,20.8,19.5,"0.221","0.3","0.249",43.4
"Urías, Ramón",602104,"HOU","SI","Sinker",-0.8,-2,"265",17.7,"72","0.328","0.422","0.351",13.7,9.7,15.6,"0.27","0.386","0.312",49.2
"Happ, Ian",664023,"CHC","CU","Curveball",3.2,8,"254",9.3,"72","0.338","0.631","0.451",27,20.8,15.2,"0.331","0.579","0.419",42
"Flores, Wilmer",527038,"SF","SL","Slider",-0.8,-3,"329",17.2,"72","0.197","0.352","0.253",34.3,30.6,19.1,"0.208","0.266","0.212",20.4
"Triolo, Jared",669707,"PIT","SI","Sinker",1.7,4,"252",17.3,"72","0.279","0.443","0.42",14.8,12.5,12.2,"0.294","0.478","0.387",46.2
"Grisham, Trent",663757,"NYY","CH","Changeup",0.3,1,"258",10.8,"72","0.197","0.47","0.325",30.1,25,19.8,"0.208","0.408","0.298",33.3
"Fermin, Freddy",666023,"SD","SI","Sinker",0.4,1,"237",17.3,"72","0.311","0.377","0.355",15.9,9.7,13.7,"0.287","0.419","0.354",41.1
"Caballero, José",676609,"NYY","SI","Sinker",1.6,4,"228",15.2,"72","0.281","0.474","0.404",13,19.4,30.4,"0.247","0.425","0.352",42.6
"Happ, Ian",664023,"CHC","SI","Sinker",4.5,12,"262",9.6,"72","0.382","0.818","0.549",9.4,8.3,11.8,"0.35","0.644","0.488",53.1
"Turner, Justin",457759,"CHC","FF","4-Seam Fastball",-1.4,-5,"369",46.1,"72","0.215","0.354","0.278",19.3,27.8,16.5,"0.193","0.375","0.277",32.6
"Schuemann, Max",680474,"ATH","FF","4-Seam Fastball",-1.4,-4,"273",32.6,"72","0.169","0.254","0.279",27.9,23.6,19.1,"0.197","0.27","0.283",39.5
"García Jr., Luis",671277,"WSH","SL","Slider",-1,-3,"281",15.3,"72","0.25","0.338","0.262",35.6,27.8,21.1,"0.27","0.422","0.303",54
"O'Neill, Tyler",641933,"BAL","FF","4-Seam Fastball",-1.6,-4,"259",31.5,"71","0.19","0.444","0.303",22.9,19.7,16.5,"0.272","0.697","0.429",48
"Raleigh, Cal",663728,"SEA","SL","Slider",0.3,1,"341",12,"71","0.231","0.523","0.359",40.3,39.4,26.7,"0.219","0.486","0.33",56.8
"Smith, Josh",669701,"TEX","SL","Slider",-0.5,-1,"270",11.8,"71","0.212","0.394","0.282",25.6,23.9,18.7,"0.221","0.365","0.276",32
"Crow-Armstrong, Pete",691718,"CHC","SI","Sinker",0.6,2,"263",11.4,"71","0.25","0.483","0.363",22.8,12.7,16.1,"0.275","0.527","0.38",37
"Chisholm Jr., Jazz",665862,"NYY","CH","Changeup",1.6,5,"286",13.4,"71","0.29","0.371","0.358",38.1,22.5,17.8,"0.216","0.29","0.27",29.8
"McKinstry, Zach",656716,"DET","SL","Slider",-0.8,-2,"261",12.8,"71","0.242","0.323","0.284",32.6,31,22.2,"0.194","0.266","0.244",21.4
"Narváez, Carlos",665966,"BOS","SI","Sinker",-1.2,-4,"308",16.8,"71","0.23","0.361","0.319",13.7,18.3,18.3,"0.213","0.319","0.282",44
"Lopez, Otto",672640,"MIA","CH","Changeup",-3.5,-7,"212",10,"71","0.132","0.176","0.158",32.2,23.9,23,"0.192","0.227","0.204",19.6
"Pasquantino, Vinnie",686469,"KC","SL","Slider",0.9,3,"333",12.9,"71","0.29","0.516","0.379",21.7,22.5,14.8,"0.277","0.446","0.35",42.6
"Hays, Austin",669720,"CIN","SI","Sinker",1.7,4,"258",16.6,"71","0.353","0.632","0.449",16.4,8.5,13,"0.307","0.53","0.372",30.6
"Kelly, Carson",608348,"CHC","SL","Slider",0.3,1,"266",16,"71","0.206","0.349","0.283",28.9,21.1,18.3,"0.184","0.29","0.244",32
"Fraley, Jake",641584,"ATL","FF","4-Seam Fastball",-0.7,-2,"251",30.1,"71","0.246","0.333","0.341",12.4,12.7,13.4,"0.284","0.38","0.37",31.3
"Campbell, Kristian",692225,"BOS","SI","Sinker",-1.1,-2,"217",20.3,"70","0.237","0.356","0.33",16.2,15.7,26.8,"0.236","0.291","0.303",33.3
"Crews, Dylan",686611,"WSH","SI","Sinker",0.7,2,"240",20.9,"70","0.266","0.516","0.373",16.4,7.1,13.9,"0.283","0.515","0.371",42.4
"Judge, Aaron",592450,"NYY","CH","Changeup",3.7,11,"292",11.1,"70","0.273","0.582","0.431",41.2,24.3,18.9,"0.23","0.507","0.394",42.1
"Lee, Jung Hoo",808982,"SF","SL","Slider",-0.1,0,"261",11.1,"70","0.206","0.317","0.286",16.8,10,6.7,"0.265","0.414","0.332",32.1
"Grisham, Trent",663757,"NYY","SL","Slider",-0.5,-2,"350",14.6,"70","0.131","0.246","0.229",31.7,44.3,24.4,"0.138","0.21","0.221",26.7
"Langford, Wyatt",694671,"TEX","CH","Changeup",0.2,0,"304",13,"70","0.194","0.306","0.27",48.8,52.9,29.4,"0.165","0.22","0.227",44
"Sosa, Edmundo",624641,"PHI","FF","4-Seam Fastball",-0.1,0,"284",30.1,"70","0.295","0.475","0.348",21.8,20,17.3,"0.274","0.415","0.316",41.2
"Lowe, Josh",666139,"TB","SL","Slider",-3,-7,"250",13.7,"70","0.164","0.194","0.181",30.3,35.7,25.3,"0.174","0.236","0.199",31
"Walker, Jordan",691023,"STL","SL","Slider",-0.8,-2,"255",16.5,"70","0.242","0.303","0.279",38.4,31.4,22.2,"0.209","0.303","0.247",50
"Riley, Austin",663586,"ATL","SL","Slider",-2.4,-7,"288",16.1,"70","0.176","0.25","0.2",40.7,34.3,24.7,"0.2","0.329","0.238",45.5
"Pasquantino, Vinnie",686469,"KC","CU","Curveball",1.2,3,"250",9.7,"70","0.262","0.462","0.326",24.6,21.4,18.3,"0.309","0.568","0.385",56.9
"Waters, Drew",671221,"KC","FF","4-Seam Fastball",0.9,2,"272",34.3,"70","0.323","0.435","0.404",28.9,20,17.3,"0.296","0.42","0.354",27.1
"Báez, Javier",595879,"DET","SL","Slider",-1,-2,"234",15.2,"70","0.194","0.373","0.284",32.4,20,20.3,"0.204","0.318","0.244",41.5
"Hernández, Heriberto",681715,"MIA","SI","Sinker",2.7,6,"211",18.6,"70","0.339","0.627","0.455",25.3,15.7,26.2,"0.284","0.492","0.39",52.1
"Kwan, Steven",680757,"CLE","CH","Changeup",0.7,2,"280",10.1,"70","0.254","0.373","0.29",13.1,10,6.4,"0.268","0.364","0.291",21.7
"Soler, Jorge",624585,"LAA","SL","Slider",1.9,5,"281",21.8,"70","0.231","0.554","0.365",39.2,31.4,24.4,"0.198","0.442","0.299",41.9
"Thomas, Alek",677950,"AZ","SL","Slider",-1.8,-4,"245",14.6,"70","0.231","0.277","0.252",31.6,17.1,19,"0.257","0.358","0.291",33.3
"Seager, Corey",608369,"TEX","SL","Slider",3.5,10,"273",16.4,"69","0.313","0.701","0.432",34.6,27.5,25,"0.284","0.639","0.397",58.3
"Mangum, Jake",663968,"TB","SI","Sinker",-1.6,-4,"226",15.8,"69","0.277","0.292","0.293",14.2,11.6,18.6,"0.231","0.283","0.252",33.3
"Barger, Addison",680718,"TOR","SL","Slider",0.2,1,"272",13.9,"69","0.277","0.492","0.349",38.2,29,24.1,"0.26","0.405","0.308",57.8
"Verdugo, Alex",657077,"ATL","FF","4-Seam Fastball",-1.2,-4,"301",34.2,"69","0.25","0.281","0.27",9.3,15.9,14.3,"0.235","0.303","0.267",39.6
"Sheets, Gavin",657757,"SD","CH","Changeup",0.9,3,"292",12.8,"69","0.222","0.381","0.305",30.2,15.9,12.9,"0.264","0.486","0.352",50
"Turner, Trea",607208,"PHI","CU","Curveball",-1.6,-4,"266",11.1,"69","0.169","0.215","0.213",34.6,24.6,15.6,"0.212","0.297","0.247",27.1
"Hassell III, Robert",690987,"WSH","FF","4-Seam Fastball",-0.3,-1,"219",28.7,"69","0.258","0.455","0.333",25,31.9,30.6,"0.235","0.49","0.321",61.4
"Donovan, Brendan",680977,"STL","SL","Slider",-0.9,-2,"248",12.9,"69","0.266","0.328","0.27",19.5,17.4,14.1,"0.272","0.392","0.298",43.6
"Meyers, Jake",676694,"HOU","SL","Slider",-0.6,-2,"240",17.9,"69","0.266","0.375","0.322",37.2,24.6,27,"0.293","0.433","0.341",29.2
"Wood, James",695578,"WSH","CH","Changeup",-0.8,-3,"335",11.6,"69","0.164","0.295","0.233",36.3,34.8,21.8,"0.199","0.32","0.261",43.6
"Herrera, Jose",645444,"AZ","FF","4-Seam Fastball",0.4,1,"316",37,"69","0.234","0.447","0.365",12.3,11.6,10.3,"0.183","0.257","0.304",27.1
"Norby, Connor",681393,"MIA","SI","Sinker",0,0,"226",18.2,"68","0.305","0.424","0.385",10.9,7.4,11.9,"0.315","0.502","0.393",36.4
"Díaz, Yandy",650490,"TB","FC","Cutter",-2.4,-7,"276",11,"68","0.183","0.217","0.238",13.3,10.3,13.2,"0.22","0.267","0.269",37.7
"Espinal, Santiago",669289,"CIN","SI","Sinker",1.4,3,"230",17.7,"68","0.421","0.439","0.455",7.3,4.4,7.5,"0.299","0.358","0.341",32.1
"Trammell, Taylor",666211,"HOU","FF","4-Seam Fastball",-1.8,-4,"222",40.2,"68","0.2","0.283","0.267",27.6,22.1,21.1,"0.214","0.301","0.278",48.9
"Sheets, Gavin",657757,"SD","CU","Curveball",0.7,2,"290",12.7,"68","0.254","0.476","0.338",27.7,29.4,18.9,"0.25","0.395","0.307",51.2
"White, Eli",642201,"ATL","FF","4-Seam Fastball",1.7,5,"279",27.9,"68","0.349","0.635","0.451",25.7,26.5,20.9,"0.268","0.494","0.35",53.3
"Larnach, Trevor",663616,"MIN","SL","Slider",0.4,1,"314",14.3,"68","0.295","0.377","0.339",46.3,35.3,26.7,"0.2","0.26","0.24",39.5
"Torkelson, Spencer",679529,"DET","CH","Changeup",2.1,6,"274",10.4,"68","0.25","0.65","0.413",34.4,27.9,17.8,"0.189","0.464","0.316",38.1
"Rodríguez, Julio",677594,"SEA","CH","Changeup",1.1,3,"237",9.5,"68","0.246","0.492","0.327",30.2,25,17.9,"0.258","0.49","0.331",35.4
"Kim, Ha-Seong",673490,"ATL","FF","4-Seam Fastball",-0.6,-2,"313",39.6,"68","0.183","0.333","0.266",15.7,23.5,18.6,"0.201","0.317","0.27",35.6
"Goodman, Hunter",696100,"COL","ST","Sweeper",0.4,1,"228",10.6,"68","0.246","0.492","0.341",39.6,23.5,21.9,"0.199","0.393","0.27",32.7
"Trout, Mike",545361,"LAA","SL","Slider",-1.3,-4,"330",13.3,"68","0.217","0.267","0.26",40.8,33.8,22.8,"0.257","0.439","0.342",42.1
"Martin, Austin",668885,"MIN","FF","4-Seam Fastball",0.4,1,"248",33.1,"68","0.309","0.4","0.385",6.6,10.3,8.3,"0.32","0.489","0.414",58.3
"Hicks, Liam",689414,"MIA","SI","Sinker",2.3,5,"234",15.2,"68","0.382","0.473","0.47",9.3,16.2,23.4,"0.213","0.261","0.289",26.1
"Bailey, Patrick",672275,"SF","CH","Changeup",-2,-5,"254",14.7,"68","0.2","0.262","0.207",36.6,26.5,22.8,"0.215","0.291","0.22",22.4
"Soto, Juan",665742,"NYM","CH","Changeup",2.5,7,"285",9.6,"68","0.263","0.526","0.393",25.8,22.1,18.5,"0.32","0.592","0.438",47.6
"Yelich, Christian",592885,"MIL","FC","Cutter",-0.2,0,"258",9.9,"68","0.263","0.439","0.365",25,10.3,12.5,"0.278","0.463","0.379",42
"Misner, Kameron",670224,"TB","FF","4-Seam Fastball",-0.3,-1,"270",29.5,"68","0.283","0.483","0.355",28.4,25,19.3,"0.22","0.38","0.292",42.2
"Friedl, TJ",670770,"CIN","CH","Changeup",-0.6,-2,"251",9.5,"68","0.219","0.266","0.242",33,30.9,22.8,"0.205","0.265","0.234",20.9
"Story, Trevor",596115,"BOS","ST","Sweeper",0.7,2,"215",8.7,"68","0.219","0.5","0.313",34.7,36.8,27.8,"0.2","0.356","0.272",27.5
"O'Hoppe, Logan",681351,"LAA","ST","Sweeper",0.2,1,"231",13.1,"67","0.172","0.469","0.289",41.6,34.3,25.6,"0.177","0.416","0.262",47.6
"Rooker, Brent",667670,"ATH","CH","Changeup",1.1,3,"287",11.1,"67","0.259","0.426","0.372",42.7,17.9,16.2,"0.266","0.441","0.379",33.3
"Barger, Addison",680718,"TOR","SI","Sinker",-0.1,0,"216",11,"67","0.29","0.468","0.353",18.2,17.9,25,"0.306","0.487","0.366",62
"García Jr., Luis",671277,"WSH","CH","Changeup",1.2,3,"219",11.9,"67","0.258","0.419","0.342",26.7,16.4,18,"0.276","0.367","0.307",34.6
"Burleson, Alec",676475,"STL","CH","Changeup",1.1,3,"235",12.2,"67","0.27","0.397","0.308",18.3,16.4,16.9,"0.235","0.352","0.275",32.1
"Laureano, Ramón",657656,"SD","SL","Slider",1.9,6,"328",16.4,"67","0.344","0.639","0.442",35.2,25.4,17,"0.3","0.541","0.387",65.9
"Garcia, Maikel",672580,"KC","FC","Cutter",-2.8,-7,"231",9.2,"67","0.155","0.276","0.257",17.7,6,10.3,"0.237","0.356","0.315",33.3
"Rice, Ben",700250,"NYY","CH","Changeup",0.4,1,"276",13.5,"67","0.194","0.339","0.266",19,10.4,7.8,"0.316","0.498","0.374",45.5
"Soler, Jorge",624585,"LAA","FF","4-Seam Fastball",0.7,2,"280",21.7,"67","0.279","0.459","0.34",31.3,37.3,25.3,"0.243","0.487","0.333",45.9
"Nootbaar, Lars",663457,"STL","CH","Changeup",2.1,6,"272",11.5,"67","0.262","0.459","0.356",28.2,19.4,12.5,"0.232","0.397","0.306",39.6
"Tauchman, Mike",643565,"CWS","SI","Sinker",0.7,1,"196",12.3,"67","0.255","0.418","0.365",10.2,20.9,28.6,"0.229","0.384","0.329",40.5
"Clement, Ernie",676391,"TOR","CH","Changeup",-0.3,0,"192",10.3,"67","0.262","0.415","0.292",21,14.9,13.2,"0.26","0.33","0.261",26.8
"Marsh, Brandon",669016,"PHI","SI","Sinker",-1.4,-3,"223",13.5,"67","0.254","0.407","0.328",9.6,13.4,21.4,"0.311","0.529","0.394",64.7
"Altuve, Jose",514888,"HOU","CH","Changeup",-1,-2,"215",9.3,"67","0.238","0.381","0.289",20.3,22.4,24.2,"0.177","0.239","0.191",24
"Bichette, Bo",666182,"TOR","FC","Cutter",-0.4,-1,"229",9.9,"67","0.328","0.391","0.348",14.7,4.5,6,"0.327","0.487","0.363",59
"Greene, Riley",682985,"DET","SL","Slider",2.7,8,"296",10.9,"67","0.271","0.695","0.413",43.8,38.8,22.2,"0.259","0.643","0.397",57.1
"Mastrobuoni, Miles",670156,"SEA","FF","4-Seam Fastball",-1.2,-3,"224",33.5,"67","0.293","0.379","0.328",8,10.4,18.9,"0.334","0.447","0.366",50
"Chourio, Jackson",694192,"MIL","ST","Sweeper",-0.6,-1,"182",8.6,"67","0.212","0.409","0.272",27.7,25.4,17.7,"0.208","0.382","0.247",30
"Harris II, Michael",671739,"ATL","CU","Curveball",2.3,5,"195",9,"67","0.333","0.54","0.367",34.9,29.9,26,"0.308","0.442","0.34",50
"Rodríguez, Julio",677594,"SEA","ST","Sweeper",0.8,2,"262",10.5,"67","0.266","0.484","0.335",31.9,10.4,6.9,"0.289","0.552","0.371",36.8
"Hamilton, David",666152,"BOS","FF","4-Seam Fastball",-0.7,-2,"245",33,"67","0.274","0.452","0.335",14.5,19.4,22.4,"0.233","0.348","0.277",28
"Arozarena, Randy",668227,"SEA","CH","Changeup",-0.9,-3,"264",9.2,"67","0.18","0.246","0.231",30.9,35.8,24,"0.18","0.257","0.235",37.8
"Lee, Brooks",686797,"MIN","SL","Slider",-3.3,-9,"272",13.5,"66","0.111","0.143","0.155",33.6,25.8,20.7,"0.149","0.216","0.174",27.7
"Canario, Alexander",672744,"PIT","FF","4-Seam Fastball",1,2,"231",25.8,"66","0.276","0.517","0.408",30.3,22.7,23.1,"0.286","0.53","0.389",53.5
"Rafaela, Ceddanne",678882,"BOS","CH","Changeup",1,2,"221",10.4,"66","0.258","0.516","0.348",33.9,28.8,23.5,"0.225","0.413","0.297",34.9
"Haggerty, Sam",664059,"TEX","FF","4-Seam Fastball",-0.3,-1,"227",35.2,"66","0.228","0.281","0.33",26.5,25.8,24.3,"0.24","0.334","0.309",45
"India, Jonathan",663697,"KC","SL","Slider",0.1,0,"333",14.1,"66","0.295","0.525","0.365",28.1,21.2,13.2,"0.277","0.429","0.322",31.3
"Burger, Jake",669394,"TEX","SL","Slider",-0.8,-2,"234",17.7,"66","0.219","0.313","0.269",40.3,34.8,27.1,"0.196","0.329","0.249",41.5
"Bart, Joey",663698,"PIT","SI","Sinker",0.4,1,"272",20.2,"66","0.304","0.429","0.389",16.7,19.7,28.9,"0.242","0.42","0.345",48.8
"Soler, Jorge",624585,"LAA","SI","Sinker",0.5,1,"255",19.8,"66","0.192","0.346","0.359",15.1,19.7,28.3,"0.237","0.354","0.348",47.5
"Cronenworth, Jake",630105,"SD","SL","Slider",-0.8,-2,"245",11.2,"66","0.175","0.368","0.285",25.5,33.3,22.2,"0.166","0.309","0.25",37.8
"Moore, Christian",695681,"LAA","FF","4-Seam Fastball",-0.5,-1,"297",38.1,"66","0.172","0.379","0.288",41.3,45.5,30.9,"0.176","0.376","0.289",46.4
"Grichuk, Randal",545341,"KC","SL","Slider",-1.6,-4,"230",21.4,"66","0.172","0.422","0.263",23,22.7,20,"0.225","0.449","0.286",40
"Thomas, Alek",677950,"AZ","CH","Changeup",-0.9,-2,"221",13.2,"66","0.226","0.323","0.28",35.5,30.3,29,"0.24","0.318","0.271",31
"Hernández, Enrique",571771,"LAD","FF","4-Seam Fastball",-1.2,-3,"270",26.1,"66","0.179","0.321","0.269",27.8,28.8,24.1,"0.218","0.419","0.316",46.2
"Betts, Mookie",605141,"LAD","FC","Cutter",-3,-7,"233",9.5,"66","0.155","0.172","0.222",19,9.1,17.1,"0.197","0.283","0.236",20
"Perez, Salvador",521692,"KC","CH","Changeup",-2.5,-6,"221",9.8,"66","0.164","0.262","0.222",27.3,19.7,16,"0.21","0.343","0.271",33.3
"Burleson, Alec",676475,"STL","SL","Slider",3,8,"252",13,"66","0.316","0.596","0.445",22.2,19.7,15.5,"0.281","0.489","0.367",53.3
"Castellanos, Nick",592206,"PHI","CU","Curveball",0.5,1,"235",10.8,"66","0.207","0.362","0.298",43,30.3,20.8,"0.212","0.355","0.296",34.2
"Riley, Austin",663586,"ATL","SI","Sinker",1.7,5,"281",15.7,"66","0.361","0.623","0.443",20.2,16.7,18.6,"0.299","0.54","0.393",54.9
"Dubón, Mauricio",643289,"HOU","SL","Slider",-3.1,-7,"230",17.1,"66","0.172","0.219","0.179",22,9.1,9.4,"0.247","0.305","0.248",22
"Bart, Joey",663698,"PIT","SL","Slider",-3,-8,"254",18.9,"65","0.175","0.238","0.196",35.7,33.8,28.2,"0.177","0.313","0.223",43.9
"Mangum, Jake",663968,"TB","CH","Changeup",-1.9,-4,"188",13.1,"65","0.266","0.266","0.26",16.7,6.2,8,"0.246","0.289","0.241",23.3
"Moniak, Mickey",666160,"COL","SL","Slider",-3.2,-8,"235",14.7,"65","0.145","0.29","0.198",37.3,38.5,35.7,"0.201","0.321","0.236",36.8
"Busch, Michael",683737,"CHC","SI","Sinker",-1.3,-4,"289",12.4,"65","0.196","0.321","0.307",14.7,15.4,12.3,"0.238","0.42","0.34",30.4
"House, Brady",691781,"WSH","FF","4-Seam Fastball",-3,-7,"246",25.4,"65","0.2","0.233","0.209",28.1,30.8,23.8,"0.256","0.355","0.276",61.9
"McMahon, Ryan",641857,"NYY","CH","Changeup",-0.1,0,"256",10.2,"65","0.186","0.356","0.273",38.4,38.5,28.4,"0.197","0.401","0.293",32.4
"Call, Alex",669743,"LAD","SI","Sinker",0.2,1,"270",20.5,"65","0.269","0.385","0.362",12.6,12.3,13.8,"0.269","0.355","0.352",31.1
"Alvarez, Yordan",670541,"HOU","FF","4-Seam Fastball",-0.3,-1,"287",35.7,"65","0.255","0.327","0.292",9.9,12.3,9.3,"0.303","0.536","0.399",52
"Nimmo, Brandon",607043,"NYM","CU","Curveball",-0.1,0,"309",11.9,"65","0.226","0.323","0.273",26.5,27.7,16.4,"0.196","0.294","0.232",43.2
"Caminero, Junior",691406,"TB","ST","Sweeper",0.9,2,"235",9.4,"65","0.279","0.459","0.357",23.2,15.4,11.8,"0.31","0.484","0.359",30.8
"Stott, Bryson",681082,"PHI","CH","Changeup",0.3,1,"240",9.7,"65","0.274","0.323","0.273",9.9,7.7,5.3,"0.245","0.325","0.266",22.4
"Campbell, Kristian",692225,"BOS","FF","4-Seam Fastball",1.3,3,"259",24.2,"65","0.288","0.508","0.386",17.2,33.8,24.2,"0.236","0.381","0.303",59.5
"Pham, Tommy",502054,"PIT","SL","Slider",0.1,0,"308",18.1,"65","0.246","0.439","0.344",33.9,27.7,18.8,"0.196","0.36","0.286",47.5
"Lee, Jung Hoo",808982,"SF","CU","Curveball",0,0,"256",10.9,"65","0.197","0.377","0.292",15.4,12.3,11,"0.263","0.35","0.287",25.9
"Jeffers, Ryan",680777,"MIN","SL","Slider",0.2,0,"296",15.8,"65","0.228","0.368","0.31",33,20,14.6,"0.265","0.422","0.345",43.2
"Mullins, Cedric",656775,"NYM","CH","Changeup",0.5,1,"228",10.8,"65","0.259","0.448","0.342",24.4,21.5,14.9,"0.253","0.392","0.316",41.3
"Swanson, Dansby",621020,"CHC","CH","Changeup",-0.5,-1,"246",9.8,"65","0.153","0.288","0.265",33.1,32.3,23.6,"0.202","0.392","0.285",35.9
"Bell, Josh",605137,"WSH","SI","Sinker",-0.8,-2,"271",12.9,"65","0.228","0.368","0.31",16.7,13.8,14.8,"0.24","0.4","0.323",47.9
"DeJong, Paul",657557,"WSH","FF","4-Seam Fastball",-0.4,-1,"249",30.5,"65","0.228","0.439","0.333",31.4,38.5,26.9,"0.169","0.341","0.274",59.4
"Iglesias, Jose",578428,"SD","SI","Sinker",-0.9,-3,"270",19.7,"65","0.25","0.268","0.332",8.7,9.2,13.3,"0.246","0.279","0.289",31.4
"Abrams, CJ",682928,"WSH","CH","Changeup",2,4,"207",8.9,"65","0.311","0.492","0.376",23.3,16.9,15.3,"0.285","0.431","0.327",35.3
"Wong, Connor",657136,"BOS","FF","4-Seam Fastball",-1.2,-3,"251",33.7,"65","0.217","0.3","0.275",15.4,20,15.1,"0.232","0.347","0.284",40.4
"McMahon, Ryan",641857,"NYY","CU","Curveball",-0.8,-2,"229",9.2,"65","0.167","0.383","0.265",55.7,55.4,35,"0.158","0.357","0.252",58.3
"Ramos, Heliot",671218,"SF","CU","Curveball",0.2,1,"208",7.8,"65","0.27","0.429","0.313",32.3,32.3,26.3,"0.243","0.402","0.288",50
"Merrill, Jackson",701538,"SD","SI","Sinker",-0.2,-1,"226",13.3,"65","0.271","0.441","0.331",18.6,21.5,29.2,"0.258","0.476","0.344",39.1
"Rojas, Miguel",500743,"LAD","SI","Sinker",1.7,3,"196",16.8,"65","0.333","0.45","0.384",4.6,7.7,12.5,"0.291","0.381","0.317",37.5
"Hayes, Ke'Bryan",663647,"CIN","ST","Sweeper",-2.4,-5,"218",10.1,"64","0.19","0.19","0.18",36.3,35.9,28.7,"0.195","0.256","0.204",27.5
"Abrams, CJ",682928,"WSH","CU","Curveball",-2.4,-6,"246",10.6,"64","0.129","0.258","0.168",34.3,37.5,27.6,"0.172","0.266","0.194",35.9
"Bogaerts, Xander",593428,"SD","SL","Slider",2.3,7,"315",15,"64","0.315","0.556","0.44",32.8,18.8,12.8,"0.305","0.482","0.386",32.6
"Kurtz, Nick",701762,"ATH","CH","Changeup",0.8,2,"255",13.1,"64","0.267","0.55","0.365",44.3,39.1,31.3,"0.264","0.559","0.368",51.4
"Taylor, Tyrone",621438,"NYM","SL","Slider",0,0,"219",17.6,"64","0.279","0.377","0.308",34.3,23.4,22.7,"0.302","0.422","0.323",42.6
"Kepler, Max",596146,"PHI","SI","Sinker",-1.4,-3,"229",12.5,"64","0.241","0.379","0.31",14.4,12.5,18.2,"0.296","0.433","0.34",46.2
"Turner, Trea",607208,"PHI","CH","Changeup",1.1,3,"233",9.7,"64","0.267","0.317","0.314",25,9.4,7.7,"0.281","0.367","0.307",40.7
"Springer, George",543807,"TOR","CH","Changeup",1,3,"299",13,"64","0.217","0.435","0.362",24.8,23.4,15,"0.227","0.432","0.377",41.2
"Perdomo, Geraldo",672695,"AZ","CU","Curveball",2,6,"315",10.5,"64","0.255","0.353","0.409",16.1,12.5,8.2,"0.296","0.346","0.367",13.6
"Alonso, Pete",624413,"NYM","CU","Curveball",0.2,0,"256",9.1,"64","0.193","0.316","0.273",35.1,34.4,25.6,"0.266","0.406","0.323",52.8
"Arias, Gabriel",672356,"CLE","SL","Slider",-1.3,-4,"296",16.5,"64","0.217","0.317","0.238",45,29.7,20.9,"0.21","0.335","0.253",46.5
"Alonso, Pete",624413,"NYM","CH","Changeup",1.1,2,"210",7.5,"64","0.228","0.456","0.322",25.5,18.8,16.4,"0.25","0.449","0.336",45.7
"Gorman, Nolan",669357,"STL","SL","Slider",-0.8,-2,"214",12.9,"64","0.175","0.386","0.279",37.5,39.1,29.8,"0.18","0.364","0.271",39.4
"Buxton, Byron",621439,"MIN","SL","Slider",1.6,5,"306",15.1,"64","0.246","0.541","0.352",46.6,34.4,20.8,"0.266","0.562","0.363",53.8
"Taveras, Leody",665750,"SEA","FF","4-Seam Fastball",-2.4,-7,"283",40.8,"64","0.234","0.328","0.245",25.9,34.4,25,"0.172","0.307","0.203",38.1
"Peraza, Oswald",672724,"LAA","SI","Sinker",-2.6,-5,"191",19,"64","0.186","0.254","0.246",26.6,21.9,27.5,"0.269","0.358","0.306",44.4
"Flores, Wilmer",527038,"SF","SI","Sinker",0.3,1,"270",14.1,"64","0.322","0.458","0.381",6.4,6.3,6,"0.285","0.437","0.339",36.4
"Domínguez, Jasson",691176,"NYY","CH","Changeup",0.6,1,"227",13.4,"64","0.259","0.328","0.288",30.7,18.8,15,"0.216","0.35","0.277",29.8
"Conforto, Michael",624424,"LAD","SL","Slider",0.2,0,"267",13,"64","0.154","0.346","0.301",29.4,29.7,16.2,"0.189","0.375","0.326",32.4
"Schanuel, Nolan",694384,"LAA","CH","Changeup",-0.6,-2,"245",11.4,"63","0.177","0.242","0.206",19.1,14.3,11.4,"0.175","0.207","0.174",13.2
"Narváez, Carlos",665966,"BOS","SL","Slider",0.3,1,"254",13.9,"63","0.263","0.456","0.333",37.8,27,20.2,"0.25","0.438","0.324",43.9
"Vaughn, Andrew",683734,"MIL","SL","Slider",0.8,2,"295",17.1,"63","0.283","0.567","0.375",32.5,22.2,16.7,"0.303","0.578","0.388",54.3
"Domínguez, Jasson",691176,"NYY","SL","Slider",0.6,1,"237",14,"63","0.268","0.464","0.355",36.4,31.7,22.2,"0.261","0.428","0.339",61.1
