"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Heaney, Andrew",571760,"L","99.4","96.5",,"99.6",,"61.5","19.1",,
"Lee, Dylan",669276,"L","99.4",,,"98.6",,,"43.5",,
"Gomber, Austin",596295,"L","99.4",,"60.9","97.8","79.5","79.2","35.2",,
"Garcia, Rico",670329,"R","99.3",,,"98.5",,"54.5","14.8",,
"Gordon, Tanner",685299,"R","99.3",,,"94.3",,"21.9","19.9",,
"Ohl, Pierson",701487,"R","99.3","99.3","44.9","83.8",,"75.5",,,
"Cantillo, Joey",676282,"L","99.3",,,"98.1",,"95.5","39.2",,
"Chivilli, Angel",683409,"R","99.3",,,"93.2",,,"25.7",,
"Imanaga, Shota",684007,"L","99.3","91.5",,,"95.1","80.2",,"35",
"Petty, Chase",695534,"R","99.3","97.2",,"99.1",,,"15.1","36.5",
"Palencia, Daniel",694037,"R","99.2","99.7",,,"90.5",,"23.8",,
"Miller, Bobby",676272,"R","99.2","98.6",,"98.4",,"83.9","33.4",,
"Marinaccio, Ron",676760,"R","99.2",,"46.2","92.8",,,,"45.3",
"Richards, Trevor",670950,"R","99.2",,,"61.3",,,"22.4",,
"Poche, Colin",621363,"L","99.2",,,,,,"44.9",,
"Finnegan, Kyle",640448,"R","99.2",,,,"91.7",,"23.7",,
"Anderson, Tyler",542881,"L","99.2","95.8","62.8","94.5",,,"33.2",,
"Springs, Jeffrey",605488,"L","99.1",,"56.9","95.8",,,"30.3","56.3",
"Orze, Eric",679358,"R","99.1",,,,"75.3",,"40.9",,
"Seabold, Connor",657756,"R","99.1",,,"82",,,"46",,
"Blalock, Bradley",687134,"R","99.1",,"50.5",,"92.8","61.1","34.8",,
"Duran, Jhoan",661395,"R","99.1",,,,"87.7","60.2",,"55.4",
"Molina, Anthony",683627,"R","99",,"81.2","93.3",,"31","58",,
"Harvey, Hunter",640451,"R","99",,,,"86.4","87","27",,
"Yarbrough, Ryan",642232,"L","99","98.6","46.4","92.1",,,,"62",
"Petersen, Michael",656848,"R","99",,"29.2",,,,,,
"Dana, Caden",702674,"R","99",,,"97.4",,"96.5","32.9",,
"Quantrill, Cal",615698,"R","99","98","42.1",,"94.7","47","21.5",,
"Farris, Mitch",815083,"L","99",,,"99.1",,,"15.3",,
"Halvorsen, Seth",678020,"R","99",,,,"91.9",,"32.2",,
"Estévez, Carlos",608032,"R","99",,,"86.5",,,"39.3",,
"Detmers, Reid",672282,"L","99","99",,,,"90.8","30",,
"Fernandez, Ryan",681676,"R","98.9",,"57.7","90.8",,,"20.7",,
"Nelson, Ryne",669194,"R","98.9",,"57.8","99",,"63.5","33.8",,
"Falter, Bailey",663559,"L","98.9","98.4",,,"95.2","38","61.4",,
"Castro, Miguel",612434,"R","98.8","98",,"91.8",,,"48.7",,
"Pepiot, Ryan",686752,"R","98.8","95.7","64.5","80.5",,"82.6","50.6",,
"Ragans, Cole",666142,"L","98.7",,"38.2","99.5",,"92","26",,
"Estrada, Jeremiah",669093,"R","98.7",,,,"97.5",,"41.6",,
"Sheehan, Emmet",686218,"R","98.7",,,"98.5",,"85","26.4",,
"Morgan, Eli",669212,"R","98.7",,,"92.5",,,"17.2",,
"Gordon, Colton",676467,"L","98.6","97.9",,"91.3",,"59.6",,"40.4",
"De los Santos, Yerry",660787,"R","98.6","97.6",,"88.4",,,"22.9",,
"Tong, Jonah",804636,"R","98.6",,,"98.9",,"80.5","35.8",,
"Loutos, Ryan",702795,"R","98.6","97.7",,"90.5",,,"38","43.1",
"Klein, Will",694361,"R","98.6",,"43.6",,,"82.8",,"38.2",
"Harrison, Kyle",690986,"L","98.5",,"25","93.8",,,,,"41.1"
"Herget, Kevin",643361,"R","98.5",,"40.4","99.1",,,,,
