"last_name, first_name","player_id","attempts","n_outs_above_average","n_oaa_slice_back_left","n_oaa_slice_back","n_oaa_slice_back_right","n_oaa_slice_back_all","n_oaa_slice_in_left","n_oaa_slice_in","n_oaa_slice_in_right","n_oaa_slice_in_all"
"Stowers, Kyle",669065,"254","-3","0","0","-3","-3","1","0","0","1"
"Wade, Tyler",642180,"73","-3","-1","0","0","0","-1","-1","0","-1"
"Duran, Jarren",680776,"346","-4","1","-1","1","1","2","-4","-2","-4"
"O'Neill, Tyler",641933,"99","-4","0","0","0","0","-1","-1","-1","-4"
"Soler, Jorge",624585,"65","-4","-2","-1","0","-3","0","0","-1","-1"
"Lowe, Josh",666139,"212","-4","0","0","0","1","-2","-1","-2","-5"
"Palacios, Joshua",641943,"69","-4","0","0","0","-1","-2","0","-2","-3"
"Rodríguez, Johnathan",671286,"50","-4","-2","-1","0","-3","0","0","-1","-1"
"Larnach, Trevor",663616,"135","-4","0","-1","-1","-2","-1","0","-1","-2"
"Wallner, Matt",670242,"175","-4","-4","0","0","-3","-1","0","0","0"
"Walker, Jordan",691023,"237","-4","0","1","-2","-1","-2","0","0","-2"
"Burleson, Alec",676475,"141","-4","-1","-1","0","-3","0","0","-1","-1"
"Arozarena, Randy",668227,"368","-5","-3","0","-1","-4","0","1","-2","-1"
"Verdugo, Alex",657077,"104","-5","-1","-1","-3","-4","1","-2","0","-1"
"Lugo, Matthew",683090,"38","-5","-1","0","0","-1","-1","-2","-1","-4"
"Baldwin, Brooks",681460,"150","-5","-1","-1","-2","-4","1","0","-2","-1"
"Martínez, Angel",682657,"257","-5","0","-1","0","-2","1","-3","-1","-2"
"Altuve, Jose",514888,"73","-5","-1","0","-2","-3","-1","0","-1","-2"
"Lee, Jung Hoo",808982,"357","-5","0","1","-3","-3","0","-4","2","-2"
"Morel, Christopher",666624,"119","-5","-2","-1","0","-3","-1","0","0","-2"
"Jones, Nolan",666134,"243","-5","-4","1","-2","-4","0","-2","1","-1"
"Simpson, Chandler",802415,"226","-5","0","1","0","1","-2","-2","-1","-6"
"Sheets, Gavin",657757,"115","-5","-1","-1","-1","-3","0","-1","-1","-2"
"Matos, Luis",682641,"101","-6","-1","-2","-1","-3","-1","-1","-1","-2"
"Profar, Jurickson",595777,"190","-6","0","0","-1","-1","-2","-1","-2","-5"
"Lux, Gavin",666158,"92","-6","-2","0","-2","-4","-2","0","0","-2"
"Springer, George",543807,"97","-6","-1","0","-2","-2","-1","-1","-2","-3"
"Wood, James",695578,"267","-7","-1","-2","0","-3","-4","-1","1","-4"
"Caglianone, Jac",695506,"113","-7","-2","-3","0","-5","-2","0","0","-2"
"Kjerstad, Heston",677008,"87","-7","-1","-2","-1","-5","0","0","-2","-2"
"Lile, Daylen",695734,"188","-8","-2","0","-1","-3","-4","-2","1","-5"
"Bleday, JJ",668709,"247","-8","-1","-1","-1","-3","-1","-2","-2","-5"
"Benintendi, Andrew",643217,"165","-8","-1","-3","-2","-6","0","0","-1","-2"
"Freeman, Tyler",671289,"131","-8","-1","0","-1","-3","-1","-3","0","-5"
"Conforto, Michael",624424,"231","-8","0","1","-2","-1","-1","-3","-2","-5"
"Moniak, Mickey",666160,"286","-8","-1","-1","-2","-4","-2","-1","-1","-4"
"Ramos, Heliot",671218,"341","-9","-3","0","-3","-6","-1","-3","1","-4"
"Laureano, Ramón",657656,"248","-9","-1","-1","1","-1","-4","-2","-3","-9"
"Hernández, Teoscar",606192,"330","-9","-3","0","-2","-4","-3","-3","1","-5"
"Domínguez, Jasson",691176,"219","-10","-1","-2","1","-2","-3","0","-4","-8"
"Acuña Jr., Ronald",660670,"204","-11","-1","-1","-1","-3","-1","-4","-2","-8"
"Soto, Juan",665742,"298","-12","-1","-2","-3","-5","-2","-3","-2","-7"
"Adell, Jo",666176,"381","-12","-3","0","-1","-4","-2","-6","-1","-8"
"Castellanos, Nick",592206,"299","-12","-3","-1","-1","-6","-4","-1","-1","-6"
