"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
681962,"Capra, Vinny",15,1,13,"76.772881333",0.7333333333333333,0.7692307692307693,0.6666666666666666,0.46153846153846156,0.4,"7.543635333",0,1.622142057741482,2,0.13333333333333333,12,0.8
683021,"Stefanic, Michael",2,1,2,"76.132935",0.5,0.5,0.5,0,0,"7.450275",0,-0.6552231418805392,0,0,2,1
608671,"Jankowski, Travis",5,1,5,"75.937634",0.4,0.6,0.6,0.2,0.2,"7.472748",0,-0.16294718739677053,0,0,3,0.6
664744,"Espada, Jose",13,0.7647058823529411,8,"75.922721538",0.4615384615384615,0.375,0.23076923076923078,0.125,0.07692307692307693,"8.100056154",1,-1.3397394192713523,5,0.38461538461538464,4,0.3076923076923077
621512,"Nido, Tomás",5,1,5,"75.626224",0.6000000000000001,0.6,0.6,0.4,0.4,"6.980374",0,-1.1212985543290688,0,0,5,1
669722,"Davidson, Logan",2,1,2,"75.53842",0.5,0.5,0.5,0,0,"7.082565",0,-0.7065915953197728,0,0,2,1
682515,"Porter, Logan",6,1,4,"75.403821667",0.5,1,0.6666666666666666,1,0.6666666666666666,"7.38753",0,0.3791081105373104,2,0.3333333333333333,4,0.6666666666666666
573262,"Yastrzemski, Mike",7,1,6,"75.230564286",0.7142857142857143,0.5,0.42857142857142855,0.5,0.42857142857142855,"7.684874286",0,0.13033719801174753,1,0.14285714285714285,5,0.7142857142857143
660644,"Bruján, Vidal",10,1,10,"75.220258",0.6,0.9,0.9,0.6,0.6,"7.570847",0,1.2328352435442684,0,0,10,1
571657,"Farmer, Kyle",3,1,3,"75.21125",0.6666666666666667,1,1,0.3333333333333333,0.3333333333333333,"7.45878",0,1.0023321012348485,0,0,3,1
670183,"Acton, Garrett",5,0.8333333333333334,4,"75.206634",0.4,0.25,0.2,0.25,0.2,"7.264622",0,-0.5810694972661515,1,0.2,2,0.4
664068,"Kingery, Scott",15,0.9375,12,"75.093573333",0.6,0.75,0.6,0.75,0.6,"7.090518",0,2.3663423618704393,3,0.2,11,0.7333333333333333
687003,"Van Belle, Brian",60,0.9230769230769231,41,"74.9852645",0.5499999999999999,0.43902439024390244,0.3,0.2926829268292683,0.2,"7.723691333",0,0.5016264903657133,19,0.31666666666666665,26,0.43333333333333335
700270,"Díaz, Yilber",17,0.85,16,"74.831861765",0.5294117647058824,0.3125,0.29411764705882354,0.1875,0.17647058823529413,"7.367303529",0,-1.7326620500918337,1,0.058823529411764705,7,0.4117647058823529
