"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"DeLuca, Jonny",676356,"1","0","2","0.0","0","0",,"3","3","100.0","2","2","100.0","4","4","100.0"
"Tawa, Tim",694374,"1","0","3","0.0","0","1","0.0","4","5","80.0","3","3","100.0","2","2","100.0"
"Melton, Jacob",689200,"1","1","5","20.0","1","1","100.0","2","3","66.7","2","2","100.0","8","8","100.0"
"Hernández, Enrique",571771,"1","0","9","0.0","1","1","100.0","4","5","80.0","3","4","75.0","4","4","100.0"
"Alcántara, Kevin",682634,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Vierling, Matt",663837,"0","0","5","0.0","1","1","100.0","3","6","50.0","4","5","80.0","4","4","100.0"
"Fraley, Jake",641584,"0","0","11","0.0","3","3","100.0","4","10","40.0","7","9","77.8","10","10","100.0"
"Taylor, Samad",669392,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Fairchild, Stuart",656413,"0","0","5","0.0","0","2","0.0","0","0",,"2","2","100.0","0","0",
"Sosa, Edmundo",624641,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Reyes, Pablo",622569,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","2","2","100.0"
"Ward, Taylor",621493,"0","2","28","7.1","1","4","25.0","9","14","64.3","17","21","81.0","29","29","100.0"
"Osuna, Alejandro",696030,"0","1","6","16.7","0","2","0.0","1","3","33.3","12","14","85.7","8","8","100.0"
"Benson, Will",666181,"0","0","9","0.0","1","4","25.0","3","6","50.0","24","24","100.0","17","18","94.4"
"Marte, Starling",516782,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","3","3","100.0"
"Hurtubise, Jacob",674441,"0","0","0",,"0","0",,"0","0",,"0","0",,"2","2","100.0"
"Blanco, Dairon",680118,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Adams, Jordyn",677941,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Yoshida, Masataka",807799,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Outman, James",681546,"0","0","10","0.0","0","0",,"7","8","87.5","6","8","75.0","5","7","71.4"
"Canha, Mark",592192,"0","0","5","0.0","0","0",,"1","1","100.0","0","1","0.0","2","2","100.0"
"Martin, Austin",668885,"0","0","6","0.0","1","1","100.0","5","6","83.3","3","4","75.0","8","10","80.0"
"Marsh, Brandon",669016,"0","1","26","3.8","2","4","50.0","4","11","36.4","24","27","88.9","18","18","100.0"
"Bauers, Jake",641343,"0","0","5","0.0","0","0",,"2","2","100.0","1","2","50.0","5","5","100.0"
"Kelenic, Jarred",672284,"0","0","1","0.0","1","1","100.0","0","2","0.0","3","3","100.0","4","4","100.0"
"Cruz, Oneil",665833,"0","0","34","0.0","2","4","50.0","5","9","55.6","21","24","87.5","24","25","96.0"
"Cowser, Colton",681297,"0","0","17","0.0","0","2","0.0","4","6","66.7","14","17","82.4","15","15","100.0"
"Raley, Luke",670042,"0","0","1","0.0","0","1","0.0","1","1","100.0","1","1","100.0","2","2","100.0"
"Eaton, Nate",681987,"0","0","3","0.0","0","1","0.0","0","0",,"1","1","100.0","3","3","100.0"
"Mastrobuoni, Miles",670156,"0","0","1","0.0","0","0",,"1","2","50.0","2","2","100.0","2","2","100.0"
"Happ, Ian",664023,"0","1","23","4.3","2","7","28.6","6","9","66.7","21","25","84.0","38","40","95.0"
"Kepler, Max",596146,"0","0","21","0.0","2","6","33.3","8","13","61.5","17","20","85.0","19","19","100.0"
"Paris, Kyren",677347,"0","0","2","0.0","0","0",,"1","2","50.0","2","3","66.7","8","8","100.0"
"Massey, Michael",686681,"0","0","0",,"0","0",,"0","0",,"2","2","100.0","0","0",
"Robertson, Will",683770,"0","0","2","0.0","0","0",,"1","3","33.3","4","4","100.0","3","3","100.0"
"Robles, Victor",645302,"0","0","11","0.0","1","1","100.0","0","1","0.0","7","9","77.8","7","7","100.0"
"Castro, Willi",650489,"0","0","4","0.0","0","1","0.0","5","7","71.4","6","8","75.0","10","10","100.0"
"Malloy, Justyn-Henry",669234,"0","0","2","0.0","0","0",,"0","1","0.0","1","1","100.0","3","3","100.0"
"Clemens, Kody",665019,"0","0","1","0.0","0","1","0.0","0","0",,"2","2","100.0","3","3","100.0"
"De La Cruz, Bryan",650559,"0","0","2","0.0","0","0",,"0","1","0.0","0","0",,"1","1","100.0"
"Dubón, Mauricio",643289,"0","0","1","0.0","1","2","50.0","1","3","33.3","5","6","83.3","8","8","100.0"
"Pillar, Kevin",607680,"0","0","1","0.0","0","1","0.0","1","1","100.0","3","4","75.0","0","0",
"Cameron, Daz",663662,"0","0","3","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Schneider, Davis",676914,"0","0","5","0.0","0","2","0.0","2","3","66.7","6","6","100.0","8","9","88.9"
"Veen, Zac",691728,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","2","2","100.0"
"Duran, Ezequiel",677649,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"0","0",
"Heyward, Jason",518792,"0","0","3","0.0","0","1","0.0","2","2","100.0","1","2","50.0","3","3","100.0"
"Beavers, Dylan",687637,"0","0","5","0.0","0","1","0.0","2","2","100.0","8","10","80.0","4","4","100.0"
"Barrero, José",676480,"0","0","3","0.0","1","1","100.0","1","1","100.0","1","1","100.0","0","1","0.0"
"Ruiz, Esteury",665923,"0","0","1","0.0","0","0",,"1","1","100.0","1","1","100.0","0","0",
"Allen, Greg",656185,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"McKinney, Billy",641856,"0","0","1","0.0","0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"McCray, Grant",687529,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Bae, Ji Hwan",678225,"0","0","2","0.0","0","0",,"1","1","100.0","0","0",,"1","1","100.0"
"Margot, Manuel",622534,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Suzuki, Seiya",673548,"0","0","9","0.0","1","1","100.0","4","6","66.7","9","10","90.0","7","7","100.0"
"Kreidler, Ryan",668952,"0","0","1","0.0","1","1","100.0","0","0",,"3","3","100.0","1","1","100.0"
"Call, Alex",669743,"0","2","17","11.8","1","2","50.0","5","6","83.3","15","19","78.9","9","11","81.8"
"Tauchman, Mike",643565,"0","0","12","0.0","0","1","0.0","6","9","66.7","13","16","81.3","15","16","93.8"
"Loperfido, Joey",694388,"0","0","5","0.0","0","2","0.0","2","3","66.7","4","5","80.0","6","6","100.0"
"Julks, Corey",667452,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Caballero, José",676609,"0","0","5","0.0","2","3","66.7","2","3","66.7","4","5","80.0","2","2","100.0"
"Ornelas, Tirso",672359,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Thomas, Alek",677950,"0","0","33","0.0","5","7","71.4","14","16","87.5","22","32","68.8","32","34","94.1"
"Harris, Dustin",687957,"0","0","1","0.0","0","0",,"2","3","66.7","2","2","100.0","1","1","100.0"
"Herrera, Iván",671056,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Tolbert, Tyler",686475,"0","0","0",,"0","1","0.0","3","4","75.0","4","5","80.0","6","6","100.0"
"Vilade, Ryan",668723,"0","0","1","0.0","0","0",,"0","1","0.0","1","1","100.0","2","2","100.0"
"Brennan, Will",686823,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"0","0",
"Garcia, Maikel",672580,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Hummel, Cooper",669450,"-1","0","5","0.0","1","2","50.0","0","1","0.0","3","4","75.0","2","2","100.0"
"Nimmo, Brandon",607043,"-1","1","24","4.2","2","4","50.0","6","11","54.5","14","20","70.0","27","27","100.0"
"Nootbaar, Lars",663457,"-1","0","25","0.0","2","8","25.0","5","9","55.6","14","16","87.5","21","22","95.5"
"O'Hearn, Ryan",656811,"-1","0","8","0.0","0","0",,"1","1","100.0","1","2","50.0","0","1","0.0"
"Pereira, Everson",677592,"-1","0","0",,"0","0",,"0","1","0.0","4","4","100.0","3","3","100.0"
"Campero, Gustavo",672569,"-1","0","4","0.0","0","0",,"1","2","50.0","3","4","75.0","2","2","100.0"
"Refsnyder, Rob",608701,"-1","0","7","0.0","0","1","0.0","0","1","0.0","3","3","100.0","4","4","100.0"
"Renfroe, Hunter",592669,"-1","0","7","0.0","2","4","50.0","2","3","66.7","3","3","100.0","3","3","100.0"
"Sanoja, Javier",691594,"-1","0","6","0.0","1","2","50.0","3","4","75.0","4","5","80.0","1","2","50.0"
"Sánchez, Jesús",660821,"-1","0","17","0.0","2","5","40.0","9","13","69.2","18","22","81.8","16","17","94.1"
"Taveras, Leody",665750,"-1","0","9","0.0","2","3","66.7","5","8","62.5","12","15","80.0","7","8","87.5"
"Thomas, Colby",687515,"-1","0","5","0.0","0","2","0.0","2","3","66.7","2","3","66.7","7","7","100.0"
"Wade Jr., LaMonte",664774,"-1","0","4","0.0","0","0",,"1","1","100.0","2","3","66.7","2","3","66.7"
"Wagaman, Eric",676572,"-1","0","1","0.0","0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"Waters, Drew",671221,"-1","0","14","0.0","0","3","0.0","2","2","100.0","7","9","77.8","10","10","100.0"
"Solak, Nick",669256,"-1","0","1","0.0","0","1","0.0","0","2","0.0","0","0",,"1","1","100.0"
"DeLauter, Chase",800050,"-1","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Yorke, Nick",694377,"-1","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Rengifo, Luis",650859,"-1","0","0",,"0","0",,"0","0",,"1","1","100.0","0","0",
"Schuemann, Max",680474,"-1","0","1","0.0","0","0",,"0","0",,"1","2","50.0","1","1","100.0"
"Fitzgerald, Tyler",666149,"-1","0","0",,"0","0",,"0","0",,"1","2","50.0","0","0",
"Valera, George",671655,"-1","0","0",,"0","0",,"0","1","0.0","0","1","0.0","1","1","100.0"
"Espinal, Santiago",669289,"-1","0","0",,"0","0",,"0","0",,"0","1","0.0","0","0",
"Freeman, Cody",683227,"-1","0","1","0.0","0","0",,"0","0",,"1","2","50.0","1","1","100.0"
"Peters, Tristan",671976,"-1","0","0",,"0","1","0.0","0","0",,"1","1","100.0","0","0",
"Azocar, José",640492,"-1","0","2","0.0","0","0",,"0","1","0.0","2","2","100.0","1","2","50.0"
"McCusker, Carson",676812,"-1","0","1","0.0","0","0",,"0","0",,"0","1","0.0","1","1","100.0"
"Avans, Drew",682183,"-1","0","2","0.0","0","0",,"0","0",,"0","0",,"2","3","66.7"
"Simon, Ronny",682927,"-1","0","1","0.0","0","0",,"0","0",,"1","1","100.0","1","2","50.0"
"Campbell, Kristian",692225,"-1","0","3","0.0","0","0",,"0","1","0.0","2","2","100.0","0","0",
"Kemp, Otto",805249,"-1","0","0",,"0","0",,"1","2","50.0","1","2","50.0","2","2","100.0"
"Jones, Jahmai",663330,"-1","0","3","0.0","0","0",,"0","1","0.0","0","1","0.0","1","1","100.0"
"Siri, Jose",642350,"-1","0","3","0.0","0","0",,"0","0",,"3","3","100.0","1","2","50.0"
"Bouchard, Sean",656248,"-1","0","1","0.0","0","0",,"0","0",,"2","3","66.7","2","2","100.0"
"Hilliard, Sam",656541,"-1","0","4","0.0","0","1","0.0","0","0",,"0","0",,"1","2","50.0"
"Alvarez, Yordan",670541,"-1","0","3","0.0","0","0",,"0","1","0.0","2","3","66.7","2","2","100.0"
"Taylor, Chris",621035,"-1","0","8","0.0","0","2","0.0","4","5","80.0","1","2","50.0","5","6","83.3"
"Mateo, Jorge",622761,"-1","1","2","50.0","0","0",,"0","1","0.0","0","0",,"2","2","100.0"
"Cole, Zach",805904,"-1","0","2","0.0","0","1","0.0","0","0",,"2","2","100.0","3","3","100.0"
"Johnston, Troy",687859,"-1","0","3","0.0","0","0",,"0","0",,"1","1","100.0","4","4","100.0"
"Martini, Nick",605361,"-1","0","4","0.0","0","0",,"0","1","0.0","0","0",,"3","3","100.0"
"Smith, Josh",669701,"-1","1","6","16.7","0","0",,"0","1","0.0","0","1","0.0","4","4","100.0"
"Loftin, Nick",679845,"-1","0","6","0.0","0","2","0.0","2","2","100.0","2","2","100.0","3","3","100.0"
"Conine, Griffin",665052,"-1","2","7","28.6","0","1","0.0","1","3","33.3","0","1","0.0","5","5","100.0"
"Hassell III, Robert",690987,"-1","0","5","0.0","1","3","33.3","3","4","75.0","6","9","66.7","10","10","100.0"
"Jackson, Jeremiah",669236,"-2","1","6","16.7","0","2","0.0","1","2","50.0","4","6","66.7","10","10","100.0"
"Schwarber, Kyle",656941,"-2","0","0",,"0","1","0.0","0","2","0.0","0","0",,"1","2","50.0"
"Carlson, Dylan",666185,"-2","1","20","5.0","0","5","0.0","2","4","50.0","8","10","80.0","15","16","93.8"
"Santander, Anthony",623993,"-2","0","3","0.0","0","2","0.0","1","1","100.0","2","4","50.0","6","7","85.7"
"Grichuk, Randal",545341,"-2","0","9","0.0","0","1","0.0","0","0",,"3","3","100.0","1","2","50.0"
"Donovan, Brendan",680977,"-2","0","3","0.0","0","2","0.0","0","1","0.0","2","2","100.0","4","4","100.0"
"Haggerty, Sam",664059,"-2","0","5","0.0","0","2","0.0","0","1","0.0","2","3","66.7","6","7","85.7"
"Dezenzo, Zach",701305,"-2","0","1","0.0","0","3","0.0","2","3","66.7","1","1","100.0","4","5","80.0"
"Clase, Jonatan",682729,"-2","0","3","0.0","0","3","0.0","1","3","33.3","4","5","80.0","7","8","87.5"
"Reynolds, Bryan",668804,"-2","0","26","0.0","3","6","50.0","5","8","62.5","15","19","78.9","20","23","87.0"
"Wilson, Weston",642215,"-2","0","6","0.0","0","0",,"0","1","0.0","1","2","50.0","3","3","100.0"
"Kim, Hyeseong",808975,"-2","0","3","0.0","0","2","0.0","0","0",,"1","1","100.0","0","0",
"Marte, Noelvi",682622,"-2","0","7","0.0","1","2","50.0","3","5","60.0","3","5","60.0","5","6","83.3"
"Beck, Jordan",687597,"-2","1","33","3.0","2","9","22.2","9","13","69.2","17","19","89.5","29","31","93.5"
"Stanton, Giancarlo",519317,"-2","0","4","0.0","0","1","0.0","0","4","0.0","0","0",,"1","1","100.0"
"Noel, Jhonkensy",678877,"-2","0","6","0.0","0","0",,"1","4","25.0","6","7","85.7","7","8","87.5"
"Grisham, Trent",663757,"-2","1","21","4.8","1","4","25.0","7","14","50.0","23","24","95.8","19","21","90.5"
"Joe, Connor",656582,"-2","0","3","0.0","0","0",,"0","2","0.0","2","3","66.7","0","0",
"Hinds, Rece",677956,"-2","0","2","0.0","0","1","0.0","1","2","50.0","4","5","80.0","2","3","66.7"
"Suwinski, Jack",669261,"-2","0","7","0.0","1","3","33.3","1","3","33.3","10","11","90.9","11","11","100.0"
"Canzone, Dominic",686527,"-2","0","10","0.0","0","4","0.0","1","6","16.7","11","12","91.7","10","10","100.0"
"Thomas, Lane",657041,"-2","0","3","0.0","0","2","0.0","2","2","100.0","8","10","80.0","3","4","75.0"
"Trout, Mike",545361,"-2","0","4","0.0","0","1","0.0","2","2","100.0","3","3","100.0","1","1","100.0"
"Fernández, Yanquiel",692585,"-2","0","5","0.0","0","3","0.0","1","1","100.0","3","4","75.0","6","6","100.0"
"Barger, Addison",680718,"-2","2","9","22.2","2","5","40.0","2","4","50.0","12","14","85.7","7","10","70.0"
"Tucker, Kyle",663656,"-2","0","24","0.0","1","6","16.7","5","8","62.5","17","21","81.0","20","21","95.2"
"McNeil, Jeff",643446,"-2","1","10","10.0","0","0",,"4","7","57.1","0","0",,"8","11","72.7"
"Kayfus, C.J.",692216,"-2","0","0",,"0","0",,"2","4","50.0","4","4","100.0","5","6","83.3"
"Canario, Alexander",672744,"-2","2","15","13.3","0","2","0.0","3","5","60.0","10","11","90.9","11","15","73.3"
"Pham, Tommy",502054,"-3","0","17","0.0","1","7","14.3","6","10","60.0","19","20","95.0","18","21","85.7"
"India, Jonathan",663697,"-3","0","4","0.0","0","1","0.0","0","1","0.0","1","2","50.0","3","4","75.0"
"Brown, Seth",664913,"-3","0","5","0.0","0","0",,"0","2","0.0","3","3","100.0","0","0",
"Frazier, Adam",624428,"-3","0","5","0.0","0","0",,"2","7","28.6","3","4","75.0","6","6","100.0"
"Moore, Dylan",664238,"-3","0","4","0.0","0","0",,"0","2","0.0","2","5","40.0","1","1","100.0"
