"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
669392,"Taylor, Samad","Bat",136,8,8,3,12.91,5,12.91,0.375,0.625,0
677941,"Adams, Jordyn","Bat",110,4,4,1,12.935,3,12.935,0.25,0.75,0
680118,"Blanco, Dairon","Bat",118,13,13,2,13.013,11,13.013,0.07692307692307693,0.9230769230769231,0
669432,"Rogers, Trevor","Bat",110,3,3,3,13.28,,13.28,1,0,0
663796,"Montes, Coco","Bat",139,12,12,8,13.298,4,13.298,0.6666666666666666,0.3333333333333333,0
689041,"Thomas, Rhylan","Bat",136,13,13,13,13.419,,13.419,0.6923076923076923,0.3076923076923077,0
686676,"Lee, Korey","Bat",145,66,66,47,13.698,19,13.698,0.5,0.5,0
690984,"Halpin, Petey","Bat",114,13,13,5,13.734,8,13.734,0.23076923076923078,0.7692307692307693,0
506702,"León, Sandy","Bat",144,14,14,6,13.807,8,13.807,0.2857142857142857,0.7142857142857143,0
691907,"Cheng, Tsung-Che","Bat",134,9,9,7,13.836,2,13.836,0.6666666666666666,0.3333333333333333,0
682515,"Porter, Logan","Bat",137,17,17,5,13.846,12,13.846,0.29411764705882354,0.7058823529411765,0
680716,"Ornelas, Jonathan","Bat",144,14,14,7,13.911,7,13.911,0.42857142857142855,0.5714285714285714,0
682997,"Callihan, Tyler","Bat",113,9,9,5,13.964,4,13.964,0.3333333333333333,0.6666666666666666,0
645305,"Sánchez, Ali","Bat",111,28,28,26,13.99,2,13.99,0.5714285714285714,0.42857142857142855,0
676551,"Hicklen, Brewer","Bat",116,7,7,3,14.103,4,14.103,0.2857142857142857,0.7142857142857143,0
671976,"Peters, Tristan","Bat",139,17,17,11,14.104,6,14.104,0.35294117647058826,0.6470588235294118,0
686823,"Brennan, Will","Bat",114,24,24,16,14.145,8,14.145,0.4166666666666667,0.5833333333333334,0
676070,"Amaya, Jacob","Bat",145,140,140,95,14.161,45,14.161,0.4642857142857143,0.5285714285714286,0.007142857142857143
605244,"Garcia, Aramis","Bat",109,5,5,2,14.228,3,14.228,0.2,0.8,0
666165,"Sabol, Blake","Bat",111,29,29,15,14.231,14,14.231,0.3448275862068966,0.6551724137931034,0
624513,"Nuñez, Dom","Bat",114,14,14,7,14.257,7,14.257,0.42857142857142855,0.5714285714285714,0
685301,"Gorski, Matt","Bat",134,78,78,39,14.259,39,14.259,0.3333333333333333,0.6410256410256411,0.02564102564102564
667452,"Julks, Corey","Bat",145,24,24,18,14.439,6,14.439,0.4583333333333333,0.5416666666666666,0
606992,"Haase, Eric","Bat",158,134,134,96,14.469,38,14.469,0.4552238805970149,0.5447761194029851,0
518792,"Heyward, Jason","Bat",135,163,163,115,14.546,48,14.546,0.4601226993865031,0.5398773006134969,0
668952,"Kreidler, Ryan","Bat",116,77,77,44,14.559,33,14.559,0.3116883116883117,0.6883116883116883,0
694376,"Whitcomb, Shay","Bat",117,56,56,30,14.56,26,14.56,0.26785714285714285,0.7321428571428571,0
664954,"Sullivan, Brett","Bat",134,14,14,12,14.617,2,14.617,0.6428571428571429,0.35714285714285715,0
672359,"Ornelas, Tirso","Bat",135,29,29,23,14.633,6,14.633,0.4827586206896552,0.5172413793103449,0
669288,"Johnson, Daniel","Bat",110,94,94,71,14.687,23,14.687,0.40425531914893614,0.5957446808510638,0
681584,"Villar, David","Bat",137,40,40,21,14.768,19,14.768,0.275,0.7,0.025
671284,"Elko, Tim","Bat",145,112,112,74,14.785,38,14.785,0.36607142857142855,0.6339285714285714,0
668723,"Vilade, Ryan","Bat",138,24,24,12,14.806,12,14.806,0.2916666666666667,0.7083333333333334,0
669304,"Miranda, Jose","Bat",142,47,47,25,14.807,22,14.807,0.2978723404255319,0.7021276595744681,0
680911,"Miller, Owen","Bat",115,27,27,16,14.814,11,14.814,0.2962962962962963,0.7037037037037037,0
683770,"Robertson, Will","Bat",145,101,101,58,14.816,43,14.816,0.33663366336633666,0.6633663366336634,0
663536,"English, Tristin","Bat",109,38,38,25,14.823,13,14.823,0.3684210526315789,0.631578947368421,0
