"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Clarke, Denzel",672016,11.06272417377473,11.06272417377473,11.558567761246675,-0.49584358747194607,,,,,,1151,0,0,0,0,0,0,1151,0
"Torrens, Luis",620443,10.939734214278047,,,,,10.939734214278047,3.7733050238628905,7.523782061595763,-0.35735287118060294,1930,1922,6,0,0,0,0,0,0
"Turner, Trea",607208,10.545295785111723,10.545295785111723,12.071751487724274,0.4864391131930699,-2.0128948158056192,,,,,3649,0,0,0,0,3649,0,0,0
"Doyle, Brenton",686668,10.535905707212178,10.535905707212178,5.153424553750213,5.3824811534619625,,,,,,3272,0,0,0,0,0,0,3272,0
"Isbel, Kyle",664728,10.38035582231651,10.38035582231651,10.86756228451049,-0.48720646219401054,,,,,,3096,0,0,0,0,0,0,3096,0
"Ortiz, Joey",687401,10.254486583458297,10.254486583458297,9.062262878032184,0.06258663267914107,1.1296370727469758,,,,,3653,0,0,0,0,3653,0,0,0
"Clement, Ernie",676391,9.713175655590508,9.713175655590508,9.5685354051866,0.0007888973975342219,0.14385135300637492,,,,,3796,0,207,1270,1809,510,0,0,0
"Rodríguez, Julio",677594,9.712911259269479,9.712911259269479,8.949953994663046,0.7629572646064292,,,,,,4219,0,0,0,0,0,0,4219,0
"Tatis Jr., Fernando",665487,9.293199691221323,9.293199691221323,7.245718056374338,2.047481634846995,,,,,,3897,0,0,0,0,0,0,0,3897
"Langford, Wyatt",694671,9.207766160817073,9.207766160817073,8.795047329134652,0.4127188316824122,,,,,,3482,0,0,0,0,0,2524,958,0
"Teodosio, Bryce",669326,9.126696556631742,9.126696556631742,8.866426124608461,0.2602704320232763,,,,,,1218,0,0,0,0,0,0,1218,0
"Bellinger, Cody",641355,9.064484438376082,9.064484438376082,5.706714060857654,3.191304150561122,0.16646622695730665,,,,,3965,0,80,0,0,0,1718,919,1248
"Straw, Myles",664702,8.629493493432683,8.629493493432683,8.534175148097132,0.09531834533554591,,,,,,2101,0,0,6,0,0,363,1597,135
"Schneemann, Daniel",682177,8.48587180337767,8.48587180337767,6.342074707174583,1.185174337214064,0.9586227589890212,,,,,2800,0,0,1544,424,162,90,403,177
"Abreu, Wilyer",677800,8.42780038629082,8.42780038629082,6.986322687878078,1.4414776984127335,,,,,,2542,0,0,0,0,0,0,0,2542
"Taylor, Tyrone",621438,8.06972714724137,8.06972714724137,3.039223225577643,5.0305039216637315,,,,,,2430,0,0,0,0,0,69,2349,12
"Heineman, Tyler",623168,7.998517961490463,,,,,7.998517961490463,4.391204772114659,1.990923852246874,1.616389337128932,1284,1274,0,0,0,0,0,0,0
"Moreno, Gabriel",672515,7.865462499401692,,,,,7.865462499401692,6.029322803743269,0.5954802380460902,1.24065945761233,1794,1794,0,0,0,0,0,0,0
"Meyers, Jake",676694,7.613656103912667,7.613656103912667,8.436840331423994,-0.8231842275113315,,,,,,2532,0,0,0,0,0,0,2532,0
"Olson, Matt",621566,7.597575347557678,7.597575347557678,6.696685214976901,-0.22992411382542557,1.1308142464061999,,,,,4287,0,4287,0,0,0,0,0,0
"France, Ty",664034,7.220198736915662,7.220198736915662,7.182891364217722,,0.0373073726979372,,,,,2933,0,2930,3,0,0,0,0,0
"Edman, Tommy",669242,7.16303935302708,7.16303935302708,6.002845893686845,1.3394312251477736,-0.17923776580753772,,,,,2416,0,0,1576,303,0,0,537,0
"Robert Jr., Luis",673357,6.967333217694717,6.967333217694717,6.286070054670812,0.6812631630239055,,,,,,2597,0,0,0,0,0,0,2597,0
