"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
519317,"Stanton, Giancarlo","R","80.620201027",27.928917780557203,10.46551168956727,-4.249248846862946,0.6205357142857142,-0.9878568816488065,25.850922215970513,26.838779097619323,33.79211283221922,448
665833,"Cruz, Oneil","L","78.80644826",33.43622881867995,9.180805133104979,-7.276677028918451,0.47810218978102187,7.522982007124128,35.366735883093746,27.843753875969625,26.7165376059013,822
691406,"Caminero, Junior","R","78.584840581",26.203443087874998,8.005418178547597,-5.361446158391792,0.5970961887477314,7.703485565641564,35.97456743958035,28.271081873938776,28.61938098689357,1102
656180,"Adams, Riley","R","78.30455994",34.636062968876274,8.452584134327875,-1.0266353301649485,0.40399999999999997,2.113820518118804,30.644403429943967,28.53058291182516,29.037886054229922,500
691023,"Walker, Jordan","R","78.069257522",31.41535929585458,6.175581936973642,-5.32482044289161,0.4766763848396503,6.269504102845827,30.065739970239466,23.79623586739364,31.757730041018494,686
678877,"Noel, Jhonkensy","R","77.867274118",29.096531853284812,6.732518842787215,-5.012344050236832,0.43137254901960786,6.747904456385582,35.6875894904174,28.93968503403182,33.51585357100833,306
666176,"Adell, Jo","R","77.613888062",33.82998979987913,7.995368341816652,-5.874203568643218,0.49515503875968975,0.06296637958043076,26.14700720722482,26.08404082764438,28.09498859688565,1032
656941,"Schwarber, Kyle","L","77.337695513",30.311409167962086,14.571614667469005,-5.779752954415326,0.6432953549517967,12.341837581117506,33.41729998490294,21.075462403785423,25.30040937829351,1141
695506,"Caglianone, Jac","L","77.330430427",28.509532709809616,8.580815693142194,-4.177849388502596,0.48994974874371855,11.048833543544083,32.95989609333113,21.91106254978705,28.976160717943547,398
671286,"Rodríguez, Johnathan","R","77.272999919",31.589910548577627,7.346176027115059,-2.5985974402848444,0.29268292682926833,5.14773247388179,34.82320118364572,29.67546870976393,29.067648756292222,123
701762,"Kurtz, Nick","L","77.204379361",39.1104098615189,14.330573769698928,1.6716152292885111,0.47755102040816333,1.3931319648773073,24.82270511021981,23.429573145342506,27.742097941049927,735
695657,"Montgomery, Colson","L","77.0448783",32.84445104779425,11.501777223987775,-8.664327096139672,0.5242914979757086,2.6157821303918527,34.85754092018734,32.24175878979549,28.116495956535687,494
592450,"Judge, Aaron","R","76.992197803",38.425818682905586,14.079290363503171,-6.045215135255592,0.5083743842364532,4.316419710496246,30.554699746868625,26.238280036372384,33.09666937729869,1015
665489,"Guerrero Jr., Vladimir","R","76.664724839",27.404558718151673,1.22232611889216,-4.392583993071132,0.30513918629550324,6.5615582592983115,34.41520253972094,27.85364428042262,28.990624699773416,934
670242,"Wallner, Matt","L","76.567157042",28.221171638203614,12.508090105913539,-6.206166173680729,0.5656565656565659,10.56900606634161,37.33370608423181,26.76470001789019,31.355995478505463,693
641343,"Bauers, Jake","L","76.452483468",34.46441684631698,12.056851472652905,-2.9682292075854892,0.5,-0.2599115325398915,29.40599213760142,29.66590367014131,26.457372991522668,346
677594,"Rodríguez, Julio","R","76.446710082",31.73035062093234,6.924711056086604,-1.4836659627500626,0.4633744855967079,11.979046948282097,32.303828638507696,20.324781690225606,29.70797626783075,1215
660670,"Acuña Jr., Ronald","R","76.414268656",38.71279583046432,11.874335218131355,6.162005269424573,0.5091937765205092,-1.0701375459309217,30.199998845873598,31.270136391804527,25.48062667860562,707
670541,"Alvarez, Yordan","L","76.132676551",36.68460470327867,10.175033475917195,-4.940212250779223,0.4050632911392405,10.37992310881122,36.07786474508414,25.69794163627291,28.165840453322502,316
669003,"Mitchell, Garrett","L","76.117896017",31.703118394189566,9.975928342194294,7.294486657433072,0.6440677966101696,-4.218188965829455,27.661183976880306,31.879372942709765,28.027923046974323,118
656577,"Jackson, Alex","R","76.062400611",30.942192433306918,11.706440610356953,-8.60095171720629,0.5222222222222223,4.5012837819104154,35.3051974140229,30.803913632112483,27.296650919095516,180
695578,"Wood, James","L","76.045597784",39.68235698455727,11.101308587103798,1.9191682044087295,0.4188532555879495,1.708581555965978,32.67824399080476,30.969662434838796,30.133122591809364,1029
672744,"Canario, Alexander","R","76.007725478",35.174191164944816,13.563047541993845,1.856759451274692,0.4801864801864802,0.6465899498278477,28.983193756658867,28.336603806831018,27.53967004934064,429
575929,"Contreras, Willson","R","75.993222084",32.781486994271724,9.431176301381198,-1.7685739332794097,0.47300215982721383,5.327616524712823,27.943322231996657,22.615705707283837,30.312338760464566,926
663609,"Baker, Luken","R","75.965784615",28.95888678115374,10.079584781837672,-4.969543068514595,0.676923076923077,4.721599758723102,31.359949574165586,26.638349815442492,28.840734710332725,65
666624,"Morel, Christopher","R","75.958570035",27.317098168037074,14.89727035793127,-9.20742399315269,0.6897163120567376,6.953365621556496,34.448449816075204,27.49508419451871,26.380990301029858,564
680718,"Barger, Addison","L","75.92957743",28.796191114009858,9.059412037390816,-4.996977773132026,0.5104651162790699,-1.6668244195136315,31.531398919480992,33.19822333899464,25.479482055753625,860
663586,"Riley, Austin","R","75.887103088",32.17117294195418,10.839407652554552,-4.470596731918999,0.4562499999999998,6.746037709035645,35.58461162045766,28.838573911422014,28.16567080138169,800
595751,"Alfaro, Jorge","R","75.876752955",35.52687827867842,3.684986787354368,6.852939162264869,0.36363636363636365,-3.9219972439395008,24.488564845415734,28.41056208935524,26.494553339772228,88
660821,"Sánchez, Jesús","L","75.853011942",27.83872132178948,7.16951922421895,-1.910742173516217,0.4832134292565948,8.773330049978748,35.11053202577249,26.33720197579375,28.416575503554622,834
660271,"Ohtani, Shohei","L","75.848867685",36.935268283849034,15.028219848175501,-2.008836709006548,0.5326370757180159,-1.3836323120387608,27.608744443540733,28.992376755579496,31.93457303523815,1149
669432,"Rogers, Trevor","L","75.81402",37.34545786061474,11.347829700058389,-16.397222937696487,1,4.534557147721369,29.9769903968397,25.442433249118327,26.354368608045576,1
669194,"Nelson, Ryne","R","75.77985",23.020819229452933,11.958824111380784,8.728894433487648,1,11.322647666532866,30.14297210957395,18.820324443041088,27.746003349628452,1
677956,"Hinds, Rece","R","75.735458659",37.29856841726848,13.423054843541317,-16.26905034602797,0.3658536585365854,9.398738397395185,38.43839314020001,29.039654742804824,27.630381181117848,82
