ev_min,ev_max,la_min,la_max,count,avg_ev,avg_la,avg_distance,std_distance,median_distance,avg_hang_time,estimated_spin,sim_distance,sim_hang_time,distance_error,distance_error_pct
90,95,15,20,220,92.63227272727273,17.2,266.40909090909093,31.054465470424674,268.0,,1116.0,296.41561641523566,3.19808845535967,30.006525506144726,11.263326414181606
90,95,20,25,287,92.57770034843206,22.069686411149824,308.5679442508711,24.05198515331038,310.0,,1303.4843205574912,329.55741112812575,3.9225853527956547,20.989466877254642,6.802218852710715
90,95,25,30,270,92.64740740740739,26.94814814814815,333.65555555555557,22.52606640995769,335.0,,1547.4074074074074,348.93296331182836,4.615951806906401,15.277407756272794,4.578796157263151
90,95,30,35,268,92.58955223880596,31.94402985074627,335.17537313432837,19.65419754489248,337.0,,1797.2014925373135,352.1186592201307,5.218946596174778,16.943286085802356,5.055051010269776
90,95,35,40,271,92.50516605166051,36.86346863468635,326.520295202952,18.36236472873391,327.0,,2043.1734317343175,341.39838480819236,5.7081694139636925,14.878089605240348,4.556558910371167
95,100,15,20,335,97.70835820895522,17.086567164179105,288.69850746268656,32.82354152137127,291.0,,1112.597014925373,322.73579124100667,3.3954738690001394,34.0372837783201,11.789906389702871
95,100,20,25,290,97.46275862068966,22.05862068965517,335.7206896551724,26.002952711100722,338.5,,1302.9310344827586,355.9787762651152,4.160506608500419,20.25808660994278,6.034208565087363
95,100,25,30,305,97.5144262295082,26.96065573770492,360.1377049180328,21.122778331746844,363.0,,1548.032786885246,374.168480919385,4.882917443615692,14.030776001352194,3.895947525001747
95,100,30,35,275,97.44909090909091,31.923636363636362,363.3636363636364,18.432124088325576,363.0,,1796.181818181818,374.96408560922674,5.498658197771695,11.600449245590369,3.1925179309855904
95,100,35,40,217,97.26036866359448,36.89861751152074,352.3271889400922,17.450163108817108,353.0,,2044.9308755760371,360.556765201843,5.996075602963112,8.229576261750822,2.3357766644430424
100,105,15,20,345,102.32695652173913,16.843478260869563,305.0753623188406,37.59306438769387,309.0,,1105.304347826087,345.3699420896291,3.5507832420947656,40.294579770788516,13.20807405242899
100,105,20,25,356,102.38651685393258,21.93820224719101,359.3061797752809,28.242293048411963,363.0,,1296.9101123595506,381.57919689462994,4.379928002267212,22.27301711934905,6.198896198578926
100,105,25,30,247,102.50607287449392,26.80161943319838,389.02024291497975,22.63935155796523,391.0,,1540.080971659919,399.0009050219543,5.127826673011317,9.980662106974535,2.5655893976591355
100,105,30,35,219,102.23835616438356,31.8675799086758,389.0913242009132,19.314416053935034,390.0,,1793.37899543379,396.60130686581806,5.76346894905287,7.50998266490484,1.9301336724298037
100,105,35,40,134,102.24776119402986,36.87313432835821,378.2313432835821,19.60509147430475,379.0,,2043.6567164179105,379.701200192268,6.283639389376146,1.4698569086859266,0.3886131952802994
105,110,15,20,270,107.15703703703704,16.988888888888887,323.85185185185185,40.411272033166256,325.5,,1109.6666666666665,372.3294568290172,3.7777930335187917,48.477604977165356,14.969068325519952
105,110,20,25,221,107.19004524886878,21.97737556561086,382.39366515837105,32.06844605550204,386.0,,1298.868778280543,406.8884950528079,4.616285882649137,24.49482989443686,6.405657866819565
105,110,25,30,172,106.99709302325581,26.825581395348838,410.0581395348837,23.20433245046373,413.0,,1541.2790697674418,420.9066432928745,5.366536787674829,10.848503757990784,2.645601370160804
105,110,30,35,96,106.72083333333335,31.854166666666668,414.1770833333333,15.368453534272332,413.0,,1792.7083333333335,415.91151014335856,6.009481401471817,1.7344268100252407,0.4187645526078899
105,110,35,40,50,107.03599999999999,36.58,402.48,17.216792941302206,403.0,,2029.0,398.41767599227586,6.526093794616382,-4.062324007724158,-1.009323198102802
110,115,15,20,59,111.56779661016948,16.71186440677966,333.20338983050846,44.11184048608208,331.0,,1101.3559322033898,393.10370954243564,3.91368505992831,59.90031971192718,17.977103937146875
110,115,20,25,47,111.50212765957446,22.382978723404257,401.0425531914894,36.61548582273834,407.0,,1319.148936170213,430.8341113944752,4.889945560903434,29.79155820298581,7.428527961909561
110,115,25,30,28,111.83214285714287,26.642857142857142,430.7142857142857,32.975700529281035,434.0,,1532.142857142857,443.500524270083,5.587652814399474,12.786238555797297,2.9686126000192727
110,115,30,35,17,111.96470588235294,31.941176470588236,422.88235294117646,30.981612193648782,422.0,,1797.0588235294117,437.06114270310974,6.3015999906731395,14.178789761933274,3.3528922792163813
